uniqueID	tables_count	GSM376049.CEL.gz.tab_GSM376049.CEL.gz	GSM376050.CEL.gz.tab_GSM376050.CEL.gz	GSM376051.CEL.gz.tab_GSM376051.CEL.gz	GSM376052.CEL.gz.tab_GSM376052.CEL.gz	GSM376054.CEL.gz.tab_GSM376054.CEL.gz	GSM376057.CEL.gz.tab_GSM376057.CEL.gz	GSM376058.CEL.gz.tab_GSM376058.CEL.gz	GSM376059.CEL.gz.tab_GSM376059.CEL.gz	GSM376062.CEL.gz.tab_GSM376062.CEL.gz	GSM376064.CEL.gz.tab_GSM376064.CEL.gz	GSM376066.CEL.gz.tab_GSM376066.CEL.gz	GSM376069.CEL.gz.tab_GSM376069.CEL.gz	GSM376071.CEL.gz.tab_GSM376071.CEL.gz	GSM376073.CEL.gz.tab_GSM376073.CEL.gz	GSM376074.CEL.gz.tab_GSM376074.CEL.gz	GSM376075.CEL.gz.tab_GSM376075.CEL.gz	GSM376079.CEL.gz.tab_GSM376079.CEL.gz	GSM376080.CEL.gz.tab_GSM376080.CEL.gz	GSM376082.CEL.gz.tab_GSM376082.CEL.gz	GSM376083.CEL.gz.tab_GSM376083.CEL.gz	GSM376086.CEL.gz.tab_GSM376086.CEL.gz	GSM376087.CEL.gz.tab_GSM376087.CEL.gz	GSM376088.CEL.gz.tab_GSM376088.CEL.gz	GSM376089.CEL.gz.tab_GSM376089.CEL.gz	GSM376091.CEL.gz.tab_GSM376091.CEL.gz	GSM376093.CEL.gz.tab_GSM376093.CEL.gz	GSM376094.CEL.gz.tab_GSM376094.CEL.gz	GSM376096.CEL.gz.tab_GSM376096.CEL.gz	GSM376098.CEL.gz.tab_GSM376098.CEL.gz	GSM376100.CEL.gz.tab_GSM376100.CEL.gz	GSM376101.CEL.gz.tab_GSM376101.CEL.gz	GSM376102.CEL.gz.tab_GSM376102.CEL.gz	GSM376104.CEL.gz.tab_GSM376104.CEL.gz	GSM376105.CEL.gz.tab_GSM376105.CEL.gz	GSM376106.CEL.gz.tab_GSM376106.CEL.gz	GSM376107.CEL.gz.tab_GSM376107.CEL.gz	GSM376109.CEL.gz.tab_GSM376109.CEL.gz	GSM376110.CEL.gz.tab_GSM376110.CEL.gz	GSM376112.CEL.gz.tab_GSM376112.CEL.gz	GSM376114.CEL.gz.tab_GSM376114.CEL.gz	GSM376116.CEL.gz.tab_GSM376116.CEL.gz	GSM376118.CEL.gz.tab_GSM376118.CEL.gz	GSM376120.CEL.gz.tab_GSM376120.CEL.gz	GSM376121.CEL.gz.tab_GSM376121.CEL.gz	GSM376123.CEL.gz.tab_GSM376123.CEL.gz	GSM376126.CEL.gz.tab_GSM376126.CEL.gz	GSM376128.CEL.gz.tab_GSM376128.CEL.gz	GSM376129.CEL.gz.tab_GSM376129.CEL.gz	GSM376130.CEL.gz.tab_GSM376130.CEL.gz	GSM376132.CEL.gz.tab_GSM376132.CEL.gz	GSM376134.CEL.gz.tab_GSM376134.CEL.gz	GSM376137.CEL.gz.tab_GSM376137.CEL.gz	GSM376141.CEL.gz.tab_GSM376141.CEL.gz	GSM376147.CEL.gz.tab_GSM376147.CEL.gz	GSM376148.CEL.gz.tab_GSM376148.CEL.gz	GSM376149.CEL.gz.tab_GSM376149.CEL.gz	GSM376150.CEL.gz.tab_GSM376150.CEL.gz	GSM376152.CEL.gz.tab_GSM376152.CEL.gz	GSM376155.CEL.gz.tab_GSM376155.CEL.gz	GSM376156.CEL.gz.tab_GSM376156.CEL.gz	GSM376157.CEL.gz.tab_GSM376157.CEL.gz	GSM376158.CEL.gz.tab_GSM376158.CEL.gz	GSM376159.CEL.gz.tab_GSM376159.CEL.gz	GSM376161.CEL.gz.tab_GSM376161.CEL.gz	GSM376163.CEL.gz.tab_GSM376163.CEL.gz	GSM376164.CEL.gz.tab_GSM376164.CEL.gz	GSM376165.CEL.gz.tab_GSM376165.CEL.gz	GSM376166.CEL.gz.tab_GSM376166.CEL.gz	GSM376168.CEL.gz.tab_GSM376168.CEL.gz	GSM376170.CEL.gz.tab_GSM376170.CEL.gz	GSM376171.CEL.gz.tab_GSM376171.CEL.gz	GSM376172.CEL.gz.tab_GSM376172.CEL.gz	GSM376173.CEL.gz.tab_GSM376173.CEL.gz	GSM376175.CEL.gz.tab_GSM376175.CEL.gz	GSM376177.CEL.gz.tab_GSM376177.CEL.gz	GSM376178.CEL.gz.tab_GSM376178.CEL.gz	GSM376181.CEL.gz.tab_GSM376181.CEL.gz	GSM376184.CEL.gz.tab_GSM376184.CEL.gz	GSM376187.CEL.gz.tab_GSM376187.CEL.gz	GSM376188.CEL.gz.tab_GSM376188.CEL.gz	GSM376189.CEL.gz.tab_GSM376189.CEL.gz	GSM376190.CEL.gz.tab_GSM376190.CEL.gz	GSM376191.CEL.gz.tab_GSM376191.CEL.gz	GSM376193.CEL.gz.tab_GSM376193.CEL.gz	GSM376196.CEL.gz.tab_GSM376196.CEL.gz	GSM376197.CEL.gz.tab_GSM376197.CEL.gz	GSM376198.CEL.gz.tab_GSM376198.CEL.gz	GSM376201.CEL.gz.tab_GSM376201.CEL.gz	GSM376204.CEL.gz.tab_GSM376204.CEL.gz	GSM376205.CEL.gz.tab_GSM376205.CEL.gz	GSM376207.CEL.gz.tab_GSM376207.CEL.gz	GSM376208.CEL.gz.tab_GSM376208.CEL.gz	GSM376209.CEL.gz.tab_GSM376209.CEL.gz	GSM376210.CEL.gz.tab_GSM376210.CEL.gz	GSM376211.CEL.gz.tab_GSM376211.CEL.gz	GSM376217.CEL.gz.tab_GSM376217.CEL.gz	GSM376242.CEL.gz.tab_GSM376242.CEL.gz	GSM376244.CEL.gz.tab_GSM376244.CEL.gz	GSM376245.CEL.gz.tab_GSM376245.CEL.gz	GSM376246.CEL.gz.tab_GSM376246.CEL.gz	GSM376251.CEL.gz.tab_GSM376251.CEL.gz	GSM376252.CEL.gz.tab_GSM376252.CEL.gz	GSM376253.CEL.gz.tab_GSM376253.CEL.gz	GSM376257.CEL.gz.tab_GSM376257.CEL.gz	GSM376258.CEL.gz.tab_GSM376258.CEL.gz	GSM376259.CEL.gz.tab_GSM376259.CEL.gz	GSM376261.CEL.gz.tab_GSM376261.CEL.gz	GSM376262.CEL.gz.tab_GSM376262.CEL.gz	GSM376497.CEL.gz.tab_GSM376497.CEL.gz
203765_at	109	9.02037702277129	7.68808075646908	7.04276303463595	8.89185606194377	6.80903033032163	8.13643148368453	7.58991094360535	8.25189553519354	8.88888635025448	9.2354020429469	8.56940452841303	7.33894901013471	6.31807548270247	8.78061858058001	8.39410586728148	7.11854769410248	8.6390485074122	7.79014048904455	6.820606666722	9.06381227823284	6.66853766033764	7.96422447987627	7.96838890019448	7.96676860412919	7.12039213677576	7.80286364791657	7.14070107676488	7.3842797113872	8.71619771545906	8.49847273559461	10.3320509107848	7.94774748781475	8.05813781253288	9.50613700721653	7.88064163903675	6.99499736309397	9.0939369439886	9.52557137654004	10.0171930150811	7.88534313367268	7.77493668632125	7.83621310783524	6.53511382660106	6.38838366058236	9.22968275044496	6.59038327014925	7.1295245279908	5.79460898304316	6.81643896532368	8.20442579612329	7.82266447697386	9.27659587653739	5.55054866182682	6.6953613426033	7.71414678271832	7.36028969751848	8.77214504352916	9.48484686355043	6.88825183525884	8.60841407000675	8.46232623925767	8.0612980607158	8.35459978519562	9.30132072159702	8.8646867402015	7.29053330710088	7.06396481896849	8.18725811513941	8.71820438703684	8.56930506501986	9.01980359092175	7.51181139742345	9.2670262317814	5.89806922690956	7.44323427890425	7.71380832212598	6.72921675283843	5.88414029426335	10.2018162585164	9.30242431808617	8.04594999883734	8.008435968953	6.89255773830349	9.00315863412176	6.19393114422441	6.02723454081024	7.73369509153084	6.54587724643268	8.32137777172637	8.50045154617803	4.78181786747572	6.964158622268	5.7761053299432	9.37470212299793	10.6520880438560	8.05280288308683	7.5435283901094	6.03954478472673	10.0795005985939	6.74235752031568	6.67029350016129	10.7163988127237	9.94562678994233	9.33778386994477	8.7231299377046	7.47434289825289	7.60807599149361	8.14959790926353	10.3158607845902
203936_s_at	109	8.9098864557741	8.549043681244	9.8236667955651	5.67746942417198	8.09079737971504	7.24225524358078	8.81776344151178	6.15101883371173	8.47826417537292	5.71557703587852	7.91715624595976	6.76489993242599	6.27022271408164	6.06185180875968	10.0456026819525	7.00448293365102	4.42250009734547	5.42444534273915	5.87615167806518	8.53363286311033	6.79091680693714	5.4842234371366	4.51933064627869	7.26931297563483	4.37335206596958	5.60806405984126	4.71492968033929	6.72314202900393	7.46117308847225	4.60910994840736	12.3655448177209	6.03711525782917	6.29346564711348	12.0235296593040	6.12338193738645	6.24090460875239	10.5638023904728	9.00230636971656	10.0871233605190	11.2412981946001	7.50752476467185	7.87283690129158	5.77691932673238	5.93659233729531	9.02291643177221	4.19361342903992	4.07344424991144	5.10097802992328	8.78420125229608	8.1398906051935	9.50553950957898	9.14776153324993	7.11446244584327	7.15419884856975	10.2680194955565	8.66202390342146	4.93249449824228	9.79737879699584	10.8074799983416	9.57432120946977	8.9423103348741	6.19245352154588	7.68225888109383	8.79547229814002	9.71523499795831	9.0301677948388	8.10983483705021	10.4543684295844	5.08796766172495	8.83234133300868	7.17764226898232	5.50456821603648	9.71333710286444	9.2843037190045	5.62517241739538	5.42547495180418	5.57349269411072	9.33778815246466	9.67586675590929	11.4751933054052	6.60430113570126	6.99018852099713	7.77346861119681	10.0776765348600	5.3232576208807	7.40758706030192	4.9044030922092	5.37506099960706	9.03554840374649	4.44777806478403	7.98145915728881	10.1243060909034	8.7827805900708	9.06924101901518	12.8554877507219	9.00013364474378	6.42706048683254	6.42132406138225	10.5794851115678	6.55892499758671	7.01638520295328	11.7638440253532	10.8227239114869	8.07595746471258	9.87404063881064	9.31635973828072	5.65077785755993	10.713444676842	11.2550931647387
204636_at	109	0.00207392037125208	1.49893462399692	4.4779239885625	1.76632870755817	3.32880968152066	3.50381170062382	0.434325634390172	0.777955443208105	3.13247718848047	0.850426446491518	0.517005256714769	-0.276060442593945	-0.409516753657247	-0.553749171549656	3.96656441403795	3.21769637835726	1.74880291911630	0.366329429349076	0.589572532069341	3.41117700083398	0.378299638509586	0.124492543951390	1.33779230062051	3.16275420830278	0.668743535567424	-0.0298890888395812	-0.237699591525978	-0.281703934795478	1.16417070730398	-0.417684183211186	6.33402526152447	0.816557064650138	1.14030699911353	5.8212827503054	1.09312254777640	0.429794615109894	6.0171100889328	4.64785418364853	7.62808027388038	3.96480863896846	1.51077452192975	2.11872637594713	0.559960542158079	0.724233039259863	0.783997895996382	-0.313240995261255	0.408132447395459	2.15430745968555	0.82662144733019	4.11586819375802	0.404357876942792	6.44758643213331	0.534525882158265	0.331750084509752	5.08662185591161	1.11673501520949	0.969866898751175	6.49689673195633	2.83984374123260	1.18080702021757	0.157202246596159	0.103379454150079	-0.135657016272847	5.88849687414552	3.73273182669941	1.32971069370388	0.885502583189292	2.56052129241088	0.38337461411248	3.80886350277484	0.202357717173024	0.504197276493918	1.27728191702759	0.350465795344642	2.19833198600976	2.21091117473277	1.70635993256517	0.847482670495017	5.39502980425751	3.79413161963464	0.566287816304358	2.93807193615174	0.983488464123046	5.94999808093008	0.816929418838418	0.546889725803886	0.261756902359302	0.273418184281068	1.37295493336494	-0.59072779937908	0.354902543871969	2.25833256055944	0.250318251333018	4.52779148285574	6.23506901819310	0.690200721353397	0.405320655468523	4.4971935849134	6.11896220075122	0.638440289594462	3.15408433251755	7.06123842606975	4.54913896154114	5.58796463958232	0.169224942001957	5.00942500179935	3.75029485300751	5.46845277324732	6.6320821699268
205040_at	109	4.6293677654808	4.75096229961571	6.31457956922403	3.36954242179678	4.97949288609143	5.72421072943851	6.97227473316193	1.60438848493969	4.64590485243369	4.9487744876781	1.92261909077261	3.70327828413384	4.03913605111995	2.51333163206656	5.83758848546773	1.67789726918187	1.9708377764323	0.960180862451491	3.80704433010345	4.05649293028749	5.11948654589907	0.883262630194061	2.55020644719719	3.08563765514279	0.562786386777507	1.59690089223252	2.79780040330263	2.44390327225307	5.75397507550149	1.13478092590675	8.91808920278356	4.97053369332396	4.21583812594139	6.94152578491731	4.10429123495201	0.0448944421528114	5.61365127534657	5.18602504999043	5.38386939908829	6.44459242498973	2.87866501731763	4.996081488086	-0.784618989759121	3.25659238215167	3.26797082979724	-0.280102864373244	3.06666382367241	2.37391346735348	5.00815939698732	5.52209606925548	5.30374446607679	5.33866917524473	2.68332142694340	2.99056903063480	8.47439562069729	7.39738182789789	0.95961966925717	9.1115744718191	5.22177532478146	4.04627451505388	6.01439017314378	1.32853614952833	3.88949248099791	6.61513129045277	5.08555447648139	6.66276713308359	4.14093095600545	6.39998419784693	0.250694305402442	6.27928514146765	3.36137588777433	4.98404319474841	4.92490489666902	5.67549374606298	1.68956163656202	4.09702234398530	1.35297941660689	5.56039921898815	3.79271287538445	6.28373506707705	5.35109874442224	3.61783318988326	4.23901393258346	5.85159220230709	-0.613683001029055	0.92271591194016	2.71821481516392	2.80344453264465	7.73865590775953	2.315164344675	4.88778491587821	6.12566086407867	5.72533975006188	4.02879978714791	6.89569036822907	4.99061138667515	0.0120115531632741	2.63595765055874	7.35761551978366	3.73328026769057	5.66412208006746	10.4391482782669	6.04444567669748	4.72312154767040	5.54747549449106	7.89837160633069	3.1959782365623	7.27129437572766	6.77942810453454
205041_s_at	109	3.83961853501771	3.94923552258043	5.58609506907988	3.73823385638723	5.24324251909685	5.96318535737714	7.33023859710391	3.01166278918697	3.18895273563870	4.17635588295508	-0.473321738032164	3.99788323316818	3.60283105486091	1.20111722958612	6.06024551998845	2.53838305915111	2.60252422648856	0.710928916142863	2.88084817469741	3.67264240692258	4.8020805898006	3.13613145016035	1.31642454064021	2.1232617061933	2.47587319177945	-0.0332919275466054	1.40581037142854	3.27420976431123	5.65506747734757	1.77143061399423	8.80921974618511	3.13288620805165	2.74485165642108	6.7571450077766	-0.492552109536113	1.09559975957998	6.05219040810793	5.2428912650339	4.73368580675619	6.29134990835149	3.49631259024752	3.36896652314296	2.20194338412626	2.6627681244123	3.57982050181031	-2.00432141043753	-1.51826293132599	1.92183444613283	4.82836079771064	5.09192646594878	5.04426947785008	4.10243614756069	0.427083068947711	3.26194122126062	8.20517752693235	6.89711102056863	0.186362254549551	8.80587584405442	4.93610121560169	4.03876044724512	5.61619743597003	-0.916642651140058	1.02794933347299	5.99519014895949	5.22941226750168	6.64839566442308	4.0238091508557	6.23975426878163	2.30979831303260	6.04549833464161	3.68053808281634	4.03661727224715	3.71451017952996	3.52685577044896	2.76444379176834	-0.0102044719601473	0.083387994168953	5.52840138842844	2.80131593649948	5.9871125217291	4.47544814834481	3.29404793546964	0.69346477421739	5.40039105088716	-0.161539127524669	-0.815777206311914	0.608824733098416	-0.391147702154422	7.62870077281398	1.06143785310877	2.88511629395458	5.61477928339016	5.39171438254591	3.71141751508082	7.12925732000445	4.69205172820474	-0.60376328648199	1.81447637217568	7.27494408516214	3.0613670480409	4.81008862111561	10.4975462970973	5.95701606236394	4.91383678034177	4.94074083680211	7.69255847250768	-0.758856173780565	7.0378539020253	6.77170715809424
205174_s_at	109	6.0213076527745	7.66983629270382	5.67436067700104	3.26012252828012	5.10207241479525	4.90451150773054	4.26101460138026	4.27808370878655	7.26250653484676	3.08863396817028	3.19479652472351	4.81633857940642	3.90421229885106	6.56219095914695	7.53558708402863	6.23970202422079	4.4328347243051	1.97335971244765	2.63412330384501	6.78351544379654	3.02640628571111	7.78236982111225	6.3428229223579	7.780451088158	3.4766832333823	3.8345780489381	4.28693562874710	3.73371366430685	6.05937131720867	4.69725360890464	9.19676766731572	6.74787511462724	4.71687289667629	7.4331838698142	3.75051546005009	5.59959757427861	7.56138349285235	8.68645926868778	8.84675951910395	6.87914851343917	5.0184166753921	3.87209097223047	5.75668073332676	3.96042556031822	4.49347127965763	3.15318669293133	4.34951199500481	4.51110410858460	3.56007559480554	6.30216427101785	4.62183938727562	8.53007012453071	4.26604402230608	5.87634792691248	4.92902591708178	6.07230051802787	6.76010476400088	7.72099466072913	7.10199620433405	6.62866101971024	5.63737687333387	5.4649627408461	4.12083422179721	7.22105501411337	6.7930567905951	7.26569953873845	4.19785193483574	6.95653218067789	4.58232626370604	6.22471360034324	4.19311875745637	4.25307868499464	6.57922074029703	5.7433191320268	7.49661089676948	3.7830074438984	4.48106009163269	4.89693381174274	6.63505390820041	7.57137349435891	7.446750298392	6.28459034408773	4.73364080594791	8.02670896363302	5.28258660999924	3.23586522160833	3.34116888933883	-0.413783267946349	6.55241064865985	1.88172419320021	-0.203586202306459	6.30111730152407	4.19890528272424	7.40420698344483	10.2265522121602	6.96078438514081	5.16355868475324	5.68961240189872	9.48528901815415	5.42743230878257	7.9734248698572	9.66664770534469	8.76299125439168	7.16478496453709	5.6388047530529	6.58219242748004	7.85282387632706	6.35358743080573	7.72820776311034
206209_s_at	109	3.20752543385257	3.92860883518253	4.64125283955474	3.77961119967438	3.19244031400666	4.05994165322682	4.40715938379854	3.35739216463951	-1.06244843483456	0.722213851586433	1.90369891074688	-1.42084639292176	2.71954540965841	3.49692909808307	4.73246976742874	3.27874725309051	3.35172481035544	3.15000391775948	4.0397522287594	3.95944529494678	1.53712262445899	2.7571410441731	4.1100893874857	2.65245378202400	3.43448080376335	1.49604612245982	0.126076959578012	2.43103609051681	3.17657506990438	2.10293192990896	7.913334109292	1.75466871947136	3.78619421475021	5.82188124972546	3.15094630798538	1.45001238531151	4.08352333831076	3.59038683832869	4.08381083632842	4.20124072161056	3.05102055236903	2.39538170660377	3.62538628809778	2.92465294168751	3.14076367738259	1.65622339997682	3.3049369751603	4.18323662449901	3.65114575865168	3.31992270824576	3.77827499371775	4.20319818699084	3.23733358473184	3.29162529602487	3.88575755223215	4.74396043051941	3.60138429348895	3.39163402290202	4.48802213915082	3.88338295909412	4.10310132489841	0.725881293870747	3.04837362481404	3.44923197864146	5.74364466550666	2.96679310340344	4.31386385218839	4.99054432686661	0.0207497230331596	4.69277560214799	3.3164245885484	2.73067283161048	3.67797628560859	4.62944084411780	0.433184279598159	3.54173207462716	2.04516674448139	3.94348213660037	4.69969063031485	4.99876146453879	3.11516703873894	3.52339252600773	4.67639968673756	3.76308813136169	2.24920466862402	1.7582102353743	3.49590393820271	3.77568104195600	3.96747647598049	3.56425669067126	3.7674685246766	-0.0844750202222349	3.77643138955709	3.86758255843402	7.87348867322007	3.25389034233647	0.0498636350100133	1.36524139628484	6.31162492840118	2.12373605078955	3.904930839516	4.38031155613349	7.52214756294328	4.77851405671850	4.49999266597872	3.88837872436786	2.17487475695060	3.60117071516110	5.36376862993638
206464_at	109	3.5805153754797	0.611109385958713	0.778670323386234	3.64766879303277	0.59682947205324	2.92391066003553	1.99399773908529	-0.425764829474311	2.35623459725721	1.67510294913541	1.13962060355059	0.396219333309137	2.30316798174453	-1.69689562717001	3.63856476508169	0.679228952601909	-0.724082168732444	1.50405235799216	0.965978466823664	3.46216089406923	3.10768428965284	1.11247935014931	1.71197385347919	4.14633043205423	0.526338679144029	0.60164207669868	4.85433726222567	4.66332016220281	4.34547232154449	-1.29919414851258	5.57023075828593	0.676806679435396	0.295215248892682	5.42219459112389	2.34100102895930	-0.0077343128267155	3.63116123644742	5.39758983698415	5.88509972699107	4.52015603712707	0.721617034827428	1.63881566878005	-0.635792078959268	4.63277783251932	1.74400845739352	-0.400339062415151	0.710750015260168	0.349420819921753	-0.467168109667772	1.50588733456659	1.57688087220761	5.38164202948933	-1.22794702209922	3.48574156914290	4.64834488603279	-0.290538661520579	4.60705597975137	3.69718033398975	3.66906776291794	3.23139769396244	2.61168908080086	0.493090846253375	1.93434499848105	2.77738566546882	3.18923449221609	0.985078493212755	5.8731429441128	1.55977630535509	-0.885150042045118	3.6712157240055	4.69013931084589	3.06491386384497	3.97820107467594	2.77191126993498	1.98695009171468	1.40628192478165	2.04770754823273	2.21313899611912	5.23013642755498	2.82864389698533	4.49086331574052	4.24190366387441	2.24206051963206	4.8402340647449	0.266252114388021	0.59499419811837	0.699888220500509	3.87401461228754	3.8627696316628	-0.317808464568618	1.20580821386969	3.83417004243326	1.16634683296999	4.62615203416209	5.97035983272209	2.84009710792521	0.975388257554157	3.32502422590046	5.86147319897617	0.790148467012704	4.19661761143856	5.99028183354462	3.42691322919323	3.26545029806691	2.68959935021473	2.24644646347814	0.0905409313236123	3.35031590405849	5.27425545083628
206515_at	109	5.61116315421154	4.56861670603066	5.76832052204151	4.34990069085731	3.78418210025786	3.22522276871356	5.35835236812984	3.20216857987019	5.27585066466164	4.55074668170905	-0.207126508487872	3.07094449638995	3.25405604300532	1.83668067275136	6.53616256357295	-1.47093660633951	2.75181354243251	2.64020401908231	2.76607978687146	5.44168615113856	3.35303998473866	5.33836524438641	3.61268890015406	4.28898495080327	3.49141712805142	2.13748242018716	2.41979624819096	3.36597697591008	4.09994479432915	-1.55831051127586	8.60780143388047	4.82556048702978	3.34761453648138	9.16393723357838	0.108604369418896	0.247931640591988	5.62651176789916	7.65585092003309	7.49759200736555	6.73960127073337	3.38614000353098	3.11166740169545	3.98465989769242	3.26747104709181	2.96546064801746	2.55464512270184	3.21443445789798	3.72030267913746	3.79068733733036	5.33549790910682	2.72006970333301	8.01477643116132	4.01633663086651	3.16452072829975	5.1671398039292	6.29011274968875	2.7686477140503	6.86861360294709	6.09812395999971	5.00771101659396	4.91499585220507	4.72429165468068	3.75872926621869	8.37513819582345	5.88815315210655	4.50788452722646	4.03525081639322	5.97998258493433	2.77280701583532	6.41656769189694	5.23876246953836	3.29235238145957	6.14829137785896	6.07561802516021	3.02891913385456	4.38542711041018	-0.523020430849072	5.01652378915705	3.99809611395715	7.47813238861216	6.19825329732164	4.06438775699909	3.64516741604929	5.88050474328689	2.48913206617911	-1.38577461511394	3.8318342986283	-0.767888196887858	4.613077976289	2.35515541180566	3.14468986836026	4.8046049020562	2.87835966120378	7.27688263451778	9.03142799885062	4.47466142374832	2.94945938857697	3.84337046412325	6.86552914077655	3.3663109287034	4.54124505023992	9.67340492792408	8.09671825234841	4.10173459465940	5.09218091167728	6.07373589408933	4.17900669804255	7.36024405036285	7.42315418034987
207072_at	109	8.0560417495295	5.37222553644676	6.62753428080979	5.44975684813422	5.30498616321538	7.1041123503445	5.47692463633525	5.02412437683723	5.64492305954747	6.18569328855959	5.59040605125369	4.60415196980128	6.19620511763129	4.75064676928255	8.71639192277581	2.05398876325392	3.24177302534297	1.15918820345150	4.66119897196611	5.96094256712696	4.34309017846559	5.05059761953696	4.89369270109529	6.32105763114717	0.584156569727868	3.97076850277513	1.05440769706964	4.71161399742539	5.17358551774506	0.997564134291618	9.91415390216204	5.71114480115485	2.50687249432271	8.7288811589466	3.02174001449164	3.93449629353485	5.93112915051105	8.00634397186135	9.4521167087956	8.4920408777192	4.16006122973571	4.9025938334377	4.83624399671528	4.8695120707754	6.0893283210603	0.83099606905567	3.93495164435641	3.28215684979716	5.0378102166769	6.15120810263714	6.67340920247083	7.81432377776678	4.19102329313511	4.84999728588402	6.32071548331356	6.58085493069363	3.94635888627229	8.49766618255592	6.36888827359316	5.8097966458825	5.88810878491231	6.46390630323034	3.0549294188227	7.26948505646847	7.55131602202103	5.27548984777637	4.94183360518786	5.87701036268144	5.57099307860964	7.32395566761629	6.30681992783766	5.17793684290104	6.02614922867598	5.23585435881041	3.60177058965336	3.66257814377661	2.35023113099054	6.08763791489203	6.09012309737211	9.3701298310888	5.4436070840577	1.55779305656933	6.27905919985567	8.65185881578223	4.74871837960981	4.85879174287781	2.52971698405976	1.64315668720519	6.54441557081552	4.59897890470698	0.796638719295173	6.13539098521379	4.51133825565762	7.79626837899234	8.37855018118	8.33457130325487	3.42418034211274	3.20218272498486	7.38972211670485	5.19529424984756	4.2968683436195	9.56767469103832	9.10642084160766	7.85825569280886	6.24462475671918	4.4650778829157	5.46528316313528	6.35867085878589	6.76798719488967
