uniqueID	tables_count	GSM376266.CEL.gz.tab_GSM376266.CEL.gz	GSM376268.CEL.gz.tab_GSM376268.CEL.gz	GSM376271.CEL.gz.tab_GSM376271.CEL.gz	GSM376272.CEL.gz.tab_GSM376272.CEL.gz	GSM376273.CEL.gz.tab_GSM376273.CEL.gz	GSM376274.CEL.gz.tab_GSM376274.CEL.gz	GSM376276.CEL.gz.tab_GSM376276.CEL.gz	GSM376280.CEL.gz.tab_GSM376280.CEL.gz	GSM376281.CEL.gz.tab_GSM376281.CEL.gz	GSM376284.CEL.gz.tab_GSM376284.CEL.gz	GSM376286.CEL.gz.tab_GSM376286.CEL.gz	GSM376288.CEL.gz.tab_GSM376288.CEL.gz	GSM376290.CEL.gz.tab_GSM376290.CEL.gz	GSM376291.CEL.gz.tab_GSM376291.CEL.gz	GSM376294.CEL.gz.tab_GSM376294.CEL.gz	GSM376296.CEL.gz.tab_GSM376296.CEL.gz	GSM376297.CEL.gz.tab_GSM376297.CEL.gz	GSM376298.CEL.gz.tab_GSM376298.CEL.gz	GSM376300.CEL.gz.tab_GSM376300.CEL.gz	GSM376301.CEL.gz.tab_GSM376301.CEL.gz	GSM376303.CEL.gz.tab_GSM376303.CEL.gz	GSM376307.CEL.gz.tab_GSM376307.CEL.gz	GSM376308.CEL.gz.tab_GSM376308.CEL.gz	GSM376314.CEL.gz.tab_GSM376314.CEL.gz	GSM376315.CEL.gz.tab_GSM376315.CEL.gz	GSM376316.CEL.gz.tab_GSM376316.CEL.gz	GSM376318.CEL.gz.tab_GSM376318.CEL.gz	GSM376320.CEL.gz.tab_GSM376320.CEL.gz	GSM376321.CEL.gz.tab_GSM376321.CEL.gz	GSM376322.CEL.gz.tab_GSM376322.CEL.gz	GSM376323.CEL.gz.tab_GSM376323.CEL.gz	GSM376324.CEL.gz.tab_GSM376324.CEL.gz	GSM376329.CEL.gz.tab_GSM376329.CEL.gz	GSM376330.CEL.gz.tab_GSM376330.CEL.gz	GSM376332.CEL.gz.tab_GSM376332.CEL.gz	GSM376336.CEL.gz.tab_GSM376336.CEL.gz	GSM376337.CEL.gz.tab_GSM376337.CEL.gz	GSM376339.CEL.gz.tab_GSM376339.CEL.gz	GSM376340.CEL.gz.tab_GSM376340.CEL.gz	GSM376342.CEL.gz.tab_GSM376342.CEL.gz	GSM376344.CEL.gz.tab_GSM376344.CEL.gz	GSM376348.CEL.gz.tab_GSM376348.CEL.gz	GSM376349.CEL.gz.tab_GSM376349.CEL.gz	GSM376351.CEL.gz.tab_GSM376351.CEL.gz	GSM376352.CEL.gz.tab_GSM376352.CEL.gz	GSM376354.CEL.gz.tab_GSM376354.CEL.gz	GSM376355.CEL.gz.tab_GSM376355.CEL.gz	GSM376356.CEL.gz.tab_GSM376356.CEL.gz	GSM376358.CEL.gz.tab_GSM376358.CEL.gz	GSM376359.CEL.gz.tab_GSM376359.CEL.gz	GSM376360.CEL.gz.tab_GSM376360.CEL.gz	GSM376361.CEL.gz.tab_GSM376361.CEL.gz	GSM376365.CEL.gz.tab_GSM376365.CEL.gz	GSM376371.CEL.gz.tab_GSM376371.CEL.gz	GSM376372.CEL.gz.tab_GSM376372.CEL.gz	GSM376373.CEL.gz.tab_GSM376373.CEL.gz	GSM376378.CEL.gz.tab_GSM376378.CEL.gz	GSM376381.CEL.gz.tab_GSM376381.CEL.gz	GSM376382.CEL.gz.tab_GSM376382.CEL.gz	GSM376383.CEL.gz.tab_GSM376383.CEL.gz	GSM376384.CEL.gz.tab_GSM376384.CEL.gz	GSM376389.CEL.gz.tab_GSM376389.CEL.gz	GSM376392.CEL.gz.tab_GSM376392.CEL.gz	GSM376393.CEL.gz.tab_GSM376393.CEL.gz	GSM376394.CEL.gz.tab_GSM376394.CEL.gz	GSM376396.CEL.gz.tab_GSM376396.CEL.gz	GSM376397.CEL.gz.tab_GSM376397.CEL.gz	GSM376401.CEL.gz.tab_GSM376401.CEL.gz	GSM376402.CEL.gz.tab_GSM376402.CEL.gz	GSM376404.CEL.gz.tab_GSM376404.CEL.gz	GSM376405.CEL.gz.tab_GSM376405.CEL.gz	GSM376407.CEL.gz.tab_GSM376407.CEL.gz	GSM376412.CEL.gz.tab_GSM376412.CEL.gz	GSM376414.CEL.gz.tab_GSM376414.CEL.gz	GSM376417.CEL.gz.tab_GSM376417.CEL.gz	GSM376420.CEL.gz.tab_GSM376420.CEL.gz	GSM376422.CEL.gz.tab_GSM376422.CEL.gz	GSM376423.CEL.gz.tab_GSM376423.CEL.gz	GSM376424.CEL.gz.tab_GSM376424.CEL.gz	GSM376426.CEL.gz.tab_GSM376426.CEL.gz
223552_at	80	5.92425456554503	6.24438674089268	5.79468889368419	7.81059876866584	4.46283384742187	7.09661944299463	4.25008782382951	3.55550173116407	6.05975368036026	4.88188013544007	5.13729585392651	7.22114351136749	2.61533069152013	5.80623720375453	5.93901997866145	7.56496205722792	7.10196899645922	7.57010178597604	6.11536087356879	7.23780119447762	7.08257525667832	7.0670048558391	4.43456919167579	6.61232895997227	7.08541212510536	4.21138283263424	5.99367430721228	6.28217528687085	6.79301193359731	6.43447845279977	7.46984378034508	3.65920689481208	5.32459057838046	7.63824705733166	7.67863552899127	7.25942358392623	6.68350179787269	5.23541323855675	7.13709015925813	6.72233740966103	7.53127212050036	6.0030026315222	3.45009646290619	4.83077634293657	7.09837126764887	6.24533446627263	6.66846186770449	6.4902382871664	5.43208121735632	7.65018089846319	7.43180424578577	7.05465386500695	6.67040918041303	5.94790056818151	6.69659890691264	6.99784972192085	6.20197899233372	7.45488455448222	7.28283985154798	5.31189718907247	6.55648922998977	5.98874702053036	4.78168772641484	7.8844838612357	4.91416162156246	7.98089659470193	6.01004679399156	5.42400522208415	6.22063129351318	3.47655175886021	6.05195085664024	6.13032932315292	5.38846672431311	7.06624990233379	3.87192819468597	7.9737160448275	5.56073724173579	6.30574707953787	6.16032104905083	7.3724156728723
224967_at	80	10.9221233486342	10.0578767223567	10.4856522093850	10.8340801482103	10.4982228640581	11.5122994243911	10.2438583990524	9.36927936190311	11.6684350474940	11.0905078373213	9.8894618211733	10.3109686210582	10.1195497676555	10.7554295960235	10.5227079754069	11.5547987351736	11.4195226208673	11.5340213208486	10.7667458477905	11.7454733171043	10.8982953935553	10.3673809112410	9.4568211169325	11.4603894059219	11.6672979365200	9.83009597875754	10.6122772860023	10.8215850614191	10.8454709071985	11.0302076091715	11.2016792251300	9.08405460970753	9.77599953953236	11.1833404475779	11.4128144888552	11.9609020040535	10.9913306425551	8.84852270394191	11.1160615476364	10.7801285575249	11.6853766337374	9.87346257142823	8.89876292857686	11.4287228495649	11.3113632835401	11.2130505558180	10.7416146628537	11.0490998585541	9.73687389610569	11.2881246248181	11.8517380922216	11.6436918504111	10.8218564985228	10.8432110886825	9.47137239246728	11.7275798421149	10.8122489009913	9.9194241340135	11.0078563570322	9.13328817466592	10.5801291333048	9.43390135717539	9.93163951218917	11.8717003513426	10.3925023298515	10.8309326837597	9.58258959233725	10.8027487444337	10.4731214395422	8.95381645712038	11.3007973373111	9.64170405870946	10.8762665795684	11.1818549587442	9.23038098471306	11.8178465648333	9.42595809684694	7.37359920537405	11.1684060371953	11.3894962298057
229770_at	80	7.91837543152922	7.66734624839766	6.7244748282614	8.8536736707709	6.12427249735346	8.13580467321175	7.49555553141825	4.96718257858537	6.086691842698	8.85534840378923	7.76802056103616	8.58299596001528	6.4013411296852	6.92840459881991	7.61752569037309	8.79547729690214	8.41593660180964	8.32578290611447	7.35492809870078	8.43807370105775	7.92938777461681	8.35759152724235	5.40229296431002	8.24056945245683	8.74922163221145	7.83349546979933	6.7363610505441	8.66058818052678	8.74442943625183	7.41802522407719	8.875928019126	5.96957867934377	7.28793584379194	8.59506956903018	8.28867746522777	8.78554282729489	8.31017226516267	7.0726994288529	8.74551333249437	8.2470769213873	8.89205207642952	7.96794448056092	4.78129225908061	6.28670834034328	8.57757236068468	8.17436912625083	7.39526513979569	8.2236752826311	7.52106814318259	8.96903941044035	8.44546648997114	8.09862242899327	8.56017808403428	7.23009148650972	8.06336776933573	8.5164045570763	7.96327567780284	8.77724610171418	7.49067706528069	7.60365270181099	7.94493366801371	7.95616379908209	6.13237564263212	8.48022510130757	6.88094574831788	9.88391767452315	7.20551535443714	7.57754914242058	7.49074207852962	5.93613404009559	7.92292809041761	7.58525246784935	8.62586783172507	7.97662595218016	7.53152585798176	8.65168262132047	8.40700347856774	4.71645776160376	8.06095968941084	8.93755511051802
232027_at	80	6.38256567923566	6.78201283497581	6.76272815783172	7.78019527245238	4.75715979150734	7.10797045910443	5.34967975519247	5.65627726559352	6.90330655665869	5.76168151676987	5.05260711026395	7.17195509985967	5.45614302879846	6.86468820775637	6.46618371671694	7.66248771923567	7.24032583214914	7.50009527661984	7.20360605509609	7.77708359342125	8.36960894669006	6.73731285962798	5.146061006494	7.13042398619408	7.65779638951918	6.77603717277965	6.06463317317637	6.26158761482931	6.37828877020378	7.1959724406712	8.81842492928746	5.35540428387598	5.5309066033886	7.44438222913589	7.74374554632436	8.45147260875058	6.70197616665098	5.5000853754051	6.26668846409362	7.2523649148189	8.42103712605968	6.03902270005892	4.51316607563737	1.62426672301614	7.48623008833086	6.99656867178683	6.52614962675573	6.39908970212752	5.84135399000016	7.52474596317989	7.31086452213736	7.21695438267732	7.5433283934896	5.82249970268335	6.53394394010187	7.5981273835612	6.75741112116572	6.10863857577	7.76206542566754	5.34345195563049	6.5515486444247	5.89795379694934	5.44480800666737	8.0728322380402	5.51438190121434	7.08848970930407	5.23958531239974	4.89467616929329	5.95802706265075	3.86552230301816	6.81214623460047	6.41380868443242	6.17213006658622	7.36767274456254	5.22679881747684	7.81587379037838	6.11092076051294	5.96539598756315	6.43286314718075	7.51631012543077
238439_at	80	8.18881741512039	7.80602652301175	7.19500662423063	8.74446406897543	7.33181730082134	9.26534523761006	7.0303366134692	5.67812021641397	8.03507899950842	8.66031261193043	4.58877361830393	9.17415913136427	6.15092825674614	7.90035040128089	6.9248247818826	8.90788150733126	8.81641200757771	9.70654294734064	6.45719862565369	9.45378072673486	7.42430759451092	8.60932525636392	5.94137098620414	8.69134173107549	9.2472572654929	7.77726033073777	6.26814806830867	8.06876371482765	9.30851659867347	8.05183151566567	7.9011886674397	6.7603805765381	7.22698543293918	9.11419861270482	9.38121072705037	9.5989128066536	6.83816112110239	6.50406116775522	8.77216464461576	7.9843781864232	9.65037221795445	7.38329816501316	6.85387824291272	5.05382128880132	9.07320834309206	8.0706501767389	7.53385485625327	8.30564165278379	6.66546968927648	9.4747924644564	9.28543958498979	9.68678402928986	8.27991484326096	6.02913273887202	8.88980495426284	8.7128476050303	6.84484095862377	8.21804109593444	8.50754490985191	7.03374189978671	5.97451193922978	8.47202691575346	4.55395737265493	9.55833873369896	8.12177649578502	9.43653721561497	7.9929191306987	5.16399415505792	8.2046694304513	4.18608356447509	8.43070796257166	8.80460448031451	7.92757360007808	8.84850725746881	7.42339908147011	10.0792140566040	7.51139609943948	8.34011897076198	8.65767215059786	9.53583862878705
